Gene_Symbol,Ensembl_ID
ELMOD1,ENSG00000110675
CIB2,ENSG00000136425
NPTN,ENSG00000156642
MGRN1,ENSG00000102858
COL9A2,ENSG00000049089
KLHDC7B,ENSG00000130487
GRXCR1,ENSG00000215203
NMNAT1,ENSG00000173614
MORN1,ENSG00000116151
COL24A1,ENSG00000171502
HIVEP3,ENSG00000127124
NID1,ENSG00000116962
HFM1,ENSG00000162669
USH2A,ENSG00000042781
GPSM2,ENSG00000121957
CLCNKA,ENSG00000186510
DNAH14,ENSG00000185842
KCNQ4,ENSG00000117013
F5,ENSG00000198734
MTHFR,ENSG00000177000
KIF1B,ENSG00000054523
PBX1,ENSG00000185630
BSND,ENSG00000162399
DPT,ENSG00000143196
MPZ,ENSG00000158887
DNAH6,ENSG00000115423
ABCB6,ENSG00000115657
GLI2,ENSG00000074047
PSD4,ENSG00000125637
THADA,ENSG00000115970
DCAF17,ENSG00000115827
COL4A4,ENSG00000081052
DOCK10,ENSG00000135905
EML6,ENSG00000214595
FSIP2,ENSG00000188738
MSH6,ENSG00000116062
FAM136A,ENSG00000035141
TMIE,ENSG00000181585
FLNB,ENSG00000136068
IFT122,ENSG00000163913
GOLGB1,ENSG00000173230
ABI3BP,ENSG00000154175
LSAMP,ENSG00000185565
TENM3,ENSG00000218336
IL2,ENSG00000109471
WFS1,ENSG00000109501
NEK1,ENSG00000137601
ARAP2,ENSG00000047365
BOD1L1,ENSG00000038219
FGFR3,ENSG00000068078
ITGA2,ENSG00000164171
DIAPH1,ENSG00000131504
SLC6A7,ENSG00000011083
APC,ENSG00000134982
THBS4,ENSG00000113296
HSPA1A,ENSG00000204389
MYO6,ENSG00000196586
MDC1,ENSG00000137337
COL11A2,ENSG00000204248
HLA-B,ENSG00000234745
MICAL1,ENSG00000135596
TNF,ENSG00000232810
HLA-DRB1,ENSG00000196126
EYA4,ENSG00000112319
ITPR3,ENSG00000096433
GSDME,ENSG00000105928
DLX5,ENSG00000105880
LAMB1,ENSG00000091136
SEMA3D,ENSG00000153993
TNRC18,ENSG00000182095
GUSB,ENSG00000169919
POU3F4,ENSG00000196767
BCAP31,ENSG00000185825
PRKDC,ENSG00000253729
ANK1,ENSG00000029534
TMC1,ENSG00000165091
FREM1,ENSG00000164946
SEC16A,ENSG00000148396
SVEP1,ENSG00000165124
PRUNE2,ENSG00000106772
DOCK8,ENSG00000107099
DENND4C,ENSG00000137145
EXOSC2,ENSG00000130713
TNC,ENSG00000041982
WHRN,ENSG00000095397
CDC42BPG,ENSG00000171219
IGSF9B,ENSG00000080854
TECTA,ENSG00000109927
SNX19,ENSG00000120451
DCHS1,ENSG00000166341
OTOG,ENSG00000188162
MYO7A,ENSG00000137474
DNHD1,ENSG00000179532
PLEKHA7,ENSG00000166689
F2,ENSG00000180210
LRP4,ENSG00000134569
YAP1,ENSG00000137693
SORL1,ENSG00000137642
MBL2,ENSG00000165471
HKDC1,ENSG00000156510
HMX2,ENSG00000188816
SLC29A3,ENSG00000198246
FRMD4A,ENSG00000151474
GATA3,ENSG00000107485
PDSS1,ENSG00000148459
MYO1A,ENSG00000166866
CEP290,ENSG00000198707
ESYT1,ENSG00000139641
ACACB,ENSG00000076555
IFNG,ENSG00000111537
NCOR2,ENSG00000196498
GJB2,ENSG00000165474
CENPJ,ENSG00000151849
LTBP2,ENSG00000119681
PSMC1,ENSG00000100764
TRIP11,ENSG00000100815
COCH,ENSG00000100473
CCDC88C,ENSG00000015133
STRC,ENSG00000242866
TLN2,ENSG00000171914
STARD9,ENSG00000159433
MAP1A,ENSG00000166963
PIEZO1,ENSG00000103335
PPL,ENSG00000118898
PRKCB,ENSG00000166501
WDR90,ENSG00000161996
TSC2,ENSG00000103197
TBC1D24,ENSG00000162065
KLHDC4,ENSG00000104731
MRPS7,ENSG00000125445
PLD2,ENSG00000129219
KDM6B,ENSG00000132510
USP36,ENSG00000055483
TNRC6C,ENSG00000078687
MYO15B,ENSG00000266714
ITGB4,ENSG00000132470
MYO15A,ENSG00000091536
GJD3,ENSG00000183153
AQP4,ENSG00000171885
DTNA,ENSG00000134769
PIEZO2,ENSG00000154864
ABHD12,ENSG00000100997
KIF16B,ENSG00000089177
MEGF8,ENSG00000105429
APOE,ENSG00000130203
MYO9B,ENSG00000099331
DOCK6,ENSG00000130158
MYH14,ENSG00000105357
PTPRS,ENSG00000105426
CABIN1,ENSG00000099991
MYH9,ENSG00000100345
SBF1,ENSG00000100241
TBX1,ENSG00000184058
SFI1,ENSG00000198089
TMPRSS3,ENSG00000160183
PFKL,ENSG00000141959
SON,ENSG00000159140
